"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"27","KOD",33,"KOD-01","01","seascape",26,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"28","KOD",39,"KOD-04","04","seascape",33,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"29","KOD",39,"KOD-04","04","seascape",34,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"30","KOD",39,"KOD-04","04","seascape",30,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"31","KOD",39,"KOD-04","04","seascape",31,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"32","KOD",39,"KOD-04","04","seascape",28,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"33","KOD",39,"KOD-04","04","seascape",29,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"34","KOD",39,"KOD-04","04","seascape",32,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"35","KOD",41,"KOD-10","10","seascape",35,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"36","KOD",42,"KOD-11","11","seascape",36,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"37","KOD",43,"KOD-17","17","seascape",37,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"38","KOD",43,"KOD-17","17","seascape",38,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.355195524246663
"39","GAS",44,"GAS-01","01","seascape",39,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"40","GAS",46,"GAS-02","02","seascape",40,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"41","GAS",46,"GAS-02","02","seascape",41,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"42","GAS",47,"GAS-04","04","seascape",42,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"43","GAS",48,"GAS-05","05","seascape",43,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
"44","GAS",49,"GAS-06","06","seascape",44,-0.367918645054933,-0.594677256838114,1.59210878845993,0.139479680648381
